age,gender,feat_1,feat_2,feat_3,feat_4,feat_5,label
26,1,2.4725274725274726,2.475,1.434782608695652,1.075,0.9069767441860465,0
28,1,2.7586206896551726,2.64,0.9295774647887324,1.52,0.6578947368421053,1
32,0,2.4625,2.5142857142857142,1.408,1.0,1.0,0
26,0,2.2,2.9615384615384617,1.2622950819672132,1.2692307692307692,0.48484848484848486,0
29,1,1.8306451612903225,2.242424242424242,0.774869109947644,1.0,0.8787878787878788,1
27,0,2.3461538461538463,3.027027027027027,1.4640522875816993,1.1081081081081081,0.7073170731707317,0
27,0,2.8125,2.5,1.04,1.3846153846153846,0.5555555555555556,0
33,0,2.458823529411765,2.3,1.0298507462686568,1.2,0.7222222222222222,0
39,0,2.63855421686747,2.9,0.8923076923076924,1.75,0.45714285714285713,0
24,1,2.244186046511628,2.8076923076923075,1.123076923076923,1.1538461538461537,0.8,1
23,0,2.2,2.9310344827586206,1.3492063492063493,1.0344827586206897,0.6666666666666666,0
22,0,2.0,2.8,0.9790209790209791,1.28,0.65625,0
41,0,2.546666666666667,3.2916666666666665,1.373913043478261,1.4166666666666667,0.6176470588235294,0
23,0,2.182795698924731,2.78125,1.2805755395683454,1.0,0.875,0
24,0,2.223404255319149,2.8214285714285716,1.1205673758865249,1.1428571428571428,0.78125,0
29,1,2.9324324324324325,2.5142857142857142,1.5575221238938053,1.0857142857142856,0.8157894736842105,1
22,0,2.241758241758242,2.8,1.1586206896551725,1.2333333333333334,0.7027027027027027,0
25,1,2.4324324324324325,2.6785714285714284,1.2396694214876034,1.1071428571428572,0.8064516129032258,1
30,0,2.525925925925926,2.6530612244897958,1.3,1.1224489795918366,0.6,0
25,0,1.9591836734693877,2.611111111111111,1.3333333333333333,1.0,0.8055555555555556,0
22,0,2.367816091954023,3.0714285714285716,1.2374100719424461,1.1428571428571428,0.78125,0
26,0,2.111111111111111,2.608695652173913,1.5686274509803921,0.8043478260869565,0.8918918918918919,0
22,0,2.4235294117647057,2.6666666666666665,1.3233082706766917,1.121212121212121,0.7027027027027027,0
28,1,2.2346938775510203,2.8,1.3611111111111112,1.0,0.8857142857142857,0
28,0,2.4430379746835444,2.586206896551724,1.2295081967213115,1.1379310344827587,0.696969696969697,0
23,0,2.147727272727273,2.740740740740741,1.034965034965035,1.1111111111111112,0.7666666666666667,0
24,0,2.388235294117647,2.5555555555555554,1.373134328358209,1.0277777777777777,0.918918918918919,0
40,0,2.574712643678161,3.0,1.0666666666666667,1.5833333333333333,0.4473684210526316,0
25,1,2.207920792079208,2.4444444444444446,0.8461538461538461,1.2962962962962963,0.6857142857142857,1
24,0,2.357142857142857,2.6363636363636362,1.3488372093023255,0.9090909090909091,0.9,0
25,0,2.367816091954023,2.8,1.4736842105263157,1.0,0.8,0
27,1,3.0533333333333332,3.4583333333333335,1.4434782608695653,1.5833333333333333,0.631578947368421,1
23,0,2.197802197802198,3.125,1.1111111111111112,1.4166666666666667,0.5,0
22,1,2.196261682242991,2.675675675675676,1.2375,1.0,0.8918918918918919,0
24,0,2.382716049382716,2.933333333333333,1.5714285714285714,1.1,0.6363636363636364,0
